geopotential height [m],pressure [N/m²],abs. temperature [K],density [kg/m³]
9000,30713.702714725823,229.64999999999998,0.46591192545190774
9100,30259.189260327268,228.99999999999997,0.46032006469174475
9200,29810.138545892678,228.34999999999997,0.4547797082546665
9300,29366.500185275316,227.7,0.4492905263395354
9400,28928.22411542685,227.04999999999998,0.4438521903259593
9500,28495.260595239197,226.39999999999998,0.43846437277341854
9600,28067.56020438674,225.74999999999997,0.4331267474203875
9700,27645.07384216975,225.09999999999997,0.4278389891834565
9800,27227.75272635866,224.45,0.4226007741564526
9900,26815.548392038912,223.79999999999998,0.41741177960955517
10000,26408.41269045705,223.14999999999998,0.41227168398841363
10100,26006.297787867534,222.5,0.4071801669132616
10200,25609.156164380172,221.84999999999997,0.4021369091780263
10300,25216.940612808954,221.2,0.39714159274944255
10400,24829.604237521216,220.54999999999998,0.3921939007661579
10500,24447.10045328805,219.89999999999998,0.38729351753784036
10600,24069.382984135416,219.25,0.38244012854428244
10700,23696.40586219618,218.59999999999997,0.37763342043450326
10800,23328.123426563146,217.95,0.3728730810258504
10900,22964.49032214261,217.29999999999998,0.36815879930309536
11000,22605.46149850936,216.64999999999998,0.3634902654175336
11100,22298.518896436042,216.69,0.35820558100088623
11200,21949.58482208605,216.69,0.3526002700197375
11300,21606.110975332693,216.69,0.3470826726669124
11400,21268.011912857026,216.69,0.34165141637260726
11500,20935.203528383405,216.69,0.3363051500454121
11600,20607.603031757022,216.69,0.33104254373621067
11700,20285.128928348855,216.69,0.32586228830733893
11800,19967.700998782868,216.69,0.3207630951069212
11900,19655.240278980473,216.69,0.3157436956483024
12000,19347.669040517234,216.69,0.31080284129449615
